text,label
I love this new phone! It's amazing,positive
Worst customer service ever. I'm so disappointed,negative
The movie was okay, nothing special,neutral
Absolutely fantastic experience,positive
I hate waiting in long lines,negative
The food was fine, not great but not bad either,neutral
Best day ever! So happy with the results,positive
This product broke the first day I used it,negative
Meh, it’s just an average app,neutral
Highly recommend this to everyone,positive
Terrible quality, will not buy again,negative
Nothing special about this,neutral
I can’t stop smiling! Love it,positive
Extremely frustrating experience,negative
It was an average day,neutral
My order arrived early, very satisfied,positive
The website is terrible and confusing,negative
Nothing exciting happened today,neutral
So happy with my purchase! Positive vibes,positive
The staff was rude and unhelpful,negative
Just another ordinary day,neutral
Excellent service, will come back,positive
Product didn’t meet expectations,negative
It’s fine, nothing to complain about,neutral
I feel so joyful today,positive
Worst app update ever, negative experience,negative
Today was uneventful,neutral
Loving the new features! Great job,positive
Terrible experience with the airline,negative
Nothing out of the ordinary,neutral
I am extremely satisfied with the service,positive
I regret buying this, very disappointing,negative
Average product, not too bad,neutral
Super excited for the event tomorrow,positive
The package arrived late and damaged,negative
Just an okay experience,neutral
Absolutely thrilled with my results,positive
The service was awful and slow,negative
It’s just another day at work,neutral
I feel amazing today, so happy,positive
Not worth the money, negative review,negative
Nothing to report, just an ordinary day,neutral
I am in love with this! Fantastic!,positive
Very poor quality, do not buy,negative
It’s neither good nor bad,neutral
Totally satisfied with my purchase,positive
Disappointed with the product,negative
Average experience, nothing special,neutral
Loving every bit of it,positive
Worst customer experience ever,negative
Neutral feelings about this,neutral
